date/time	Temperature	Relative humidity
2020-03-23 11:27:10	21.455405508506903	93.32097126199959
2020-03-23 11:29:10	21.534447241931787	91.17805961265512
2020-03-23 11:31:10	21.61909666590371	89.61479175251438
2020-03-23 11:33:10	21.676241702906843	88.66047036918334
2020-03-23 11:35:10	21.723239490348664	88.20551562046916
2020-03-23 11:37:10	21.760090028229182	87.6591425911512
2020-03-23 11:39:10	21.78091859311818	87.33559208216961
2020-03-23 11:41:10	21.8142977035172	86.80020756070388
2020-03-23 11:43:10	21.83299000534065	85.20946843093265
2020-03-23 11:45:10	21.607614251926446	96.55983395143689
2020-03-23 11:47:10	21.611619745174334	91.5446484440578
2020-03-23 11:49:10	21.695201037613487	89.27796346321139
