Temperature,Relative humidity
21.6567483024338,95.5308822856096
21.6484702830548,95.5214199594036
21.637521934844,95.5041741068022
21.6401922636759,95.5214199594036
21.630579079881,95.4799078186286
21.6257724879835,95.4707507287517
21.6228351262684,95.4139767715154
21.6177615014878,95.4200814980999
21.6092164492256,95.3662072859912
21.6022735942626,95.4387009141828
21.6092164492256,95.3910840468233
21.5977340352483,95.7523312424645
21.6033417257954,95.5235566137082
21.5883878843366,95.4622041115333
21.5881208514534,94.9426918791874
21.6030746929122,95.0032812905392
21.6076142519264,94.7835111334951
21.6100175478752,94.9208674816477
21.6086823834592,94.8431848358592
21.6033417257954,94.6083054805183
21.5923933775845,94.5739663934802
21.5934615091173,94.9871037650901
21.5787747005417,94.736504738794
21.5670252536812,94.7442882651893
21.555542839704,94.8430322176946
21.5371175707637,94.7885475329274
21.5216296635386,94.6676739465531
21.5048065918975,94.5802237382293
21.4906538490883,94.5979274453246
21.4684901197833,94.6940768890313
21.4484626535439,94.7917525143843
21.4292362859541,95.1609358545854
21.4150835431449,95.0715016101216
21.3993286030365,95.1040092791844
21.391584649424,95.1502525830624
21.3699549858854,95.2329716282832
21.3544670786603,95.3352257985746
21.3517967498283,95.3394991071837
21.3397802700847,95.3230163454054
21.3250934615091,95.3767379393495
21.3133440146487,95.4184026982891
21.2973220416571,95.5423286479557
21.2911802853437,95.465103856661
21.2815671015488,95.5446179204249
21.2738231479362,95.7195183370725
21.2674143587396,95.7488210246784
21.2634088654917,95.82528272515
21.2620737010758,95.9469194023473
21.2556649118791,95.8330662515453
21.2660791943236,95.7920119652641
21.2556649118791,95.7059353204219
21.2588693064774,95.9870579796407
21.2535286488136,95.7889596019718
21.2417792019531,95.7298963722662
21.2439154650187,95.7317277902416
21.2364385442893,95.6943363399112
21.2305638208591,95.6632022343299
21.2225528343633,95.6258107839995
21.2169451438163,95.6671703066099
21.2140077821012,95.7010515391542
21.2070649271382,95.7070036475742
21.2084000915541,95.9879736886284
21.1955825131609,95.7173816827679
21.1870374608988,95.6467194725516
21.1808957045853,95.6218427117195
21.1678110933089,95.6226058025426
21.1739528496223,95.6123803855135
21.1571297779812,95.629168383621
21.1571297779812,95.6384780916625
21.1488517586023,95.6395464188148
21.1517891203174,95.6076492224105
21.1472495613031,95.9446301298781
21.138704509041,95.6845687773759
21.1346990157931,95.611006822032
21.1208133058671,95.5475176655526
21.1205462729839,95.5612533003678
21.1138704509041,95.5714787173969
21.1112001220722,95.598339514369
21.1058594644083,95.5041741068022
21.0911726558328,95.5298139584573
21.0871671625849,95.5653739908124
21.0842298008698,95.8449704683852
21.0855649652857,95.607038749752
21.0666056305791,95.5337820307373
21.0690089265278,95.4724295285625
21.0663385976959,95.4663248019779
